Date,Procedure,n_Procedure,Temperature,EventTarget,Day,2015,Month,Tareeq
1/15/2016,C,1,19,0,Friday,0,0.08333333333333333,0.4838709677419355
1/16/2016,A,4,21,0,Saturday,0,0.08333333333333333,0.5161290322580645
1/16/2016,B,4,21,0,Saturday,0,0.08333333333333333,0.5161290322580645
1/16/2016,C,10,21,0,Saturday,0,0.08333333333333333,0.5161290322580645
1/17/2016,A,2,21,0,Sunday,0,0.08333333333333333,0.5483870967741935
1/17/2016,B,3,21,0,Sunday,0,0.08333333333333333,0.5483870967741935
1/17/2016,C,3,21,0,Sunday,0,0.08333333333333333,0.5483870967741935
1/18/2016,A,6,21,0,Monday,0,0.08333333333333333,0.5806451612903226
1/18/2016,B,1,21,0,Monday,0,0.08333333333333333,0.5806451612903226
1/18/2016,C,4,21,0,Monday,0,0.08333333333333333,0.5806451612903226
1/19/2016,A,4,28,2,Tuesday,0,0.08333333333333333,0.6129032258064516
1/19/2016,B,2,28,2,Tuesday,0,0.08333333333333333,0.6129032258064516
1/19/2016,C,2,28,2,Tuesday,0,0.08333333333333333,0.6129032258064516
1/20/2016,A,5,21,2,Wednesday,0,0.08333333333333333,0.6451612903225806
1/20/2016,B,2,21,2,Wednesday,0,0.08333333333333333,0.6451612903225806
1/20/2016,C,3,21,2,Wednesday,0,0.08333333333333333,0.6451612903225806
1/21/2016,A,3,20,2,Thursday,0,0.08333333333333333,0.6774193548387096
1/21/2016,B,2,20,2,Thursday,0,0.08333333333333333,0.6774193548387096
1/21/2016,C,3,20,2,Thursday,0,0.08333333333333333,0.6774193548387096
1/22/2016,A,7,25,0,Friday,0,0.08333333333333333,0.7096774193548387
1/22/2016,B,5,25,0,Friday,0,0.08333333333333333,0.7096774193548387
1/22/2016,C,3,25,0,Friday,0,0.08333333333333333,0.7096774193548387
1/23/2016,A,5,20,0,Saturday,0,0.08333333333333333,0.7419354838709677
1/23/2016,B,0,20,0,Saturday,0,0.08333333333333333,0.7419354838709677
1/23/2016,C,2,20,0,Saturday,0,0.08333333333333333,0.7419354838709677
1/24/2016,A,10,29,0,Sunday,0,0.08333333333333333,0.7741935483870968
1/24/2016,B,2,29,0,Sunday,0,0.08333333333333333,0.7741935483870968
1/24/2016,C,3,29,0,Sunday,0,0.08333333333333333,0.7741935483870968
1/25/2016,A,7,29,0,Monday,0,0.08333333333333333,0.8064516129032258
1/25/2016,B,1,29,0,Monday,0,0.08333333333333333,0.8064516129032258
1/25/2016,C,4,29,0,Monday,0,0.08333333333333333,0.8064516129032258
1/26/2016,A,8,21,0,Tuesday,0,0.08333333333333333,0.8387096774193549
1/26/2016,B,2,21,0,Tuesday,0,0.08333333333333333,0.8387096774193549
1/26/2016,C,4,21,0,Tuesday,0,0.08333333333333333,0.8387096774193549
1/27/2016,A,2,26,2,Wednesday,0,0.08333333333333333,0.8709677419354839
1/27/2016,B,2,26,2,Wednesday,0,0.08333333333333333,0.8709677419354839
1/27/2016,C,3,26,2,Wednesday,0,0.08333333333333333,0.8709677419354839
1/28/2016,A,7,20,2,Thursday,0,0.08333333333333333,0.9032258064516129
1/28/2016,B,3,20,2,Thursday,0,0.08333333333333333,0.9032258064516129
1/28/2016,C,1,20,2,Thursday,0,0.08333333333333333,0.9032258064516129
1/29/2016,A,4,20,2,Friday,0,0.08333333333333333,0.9354838709677419
1/29/2016,B,4,20,2,Friday,0,0.08333333333333333,0.9354838709677419
1/29/2016,C,1,20,2,Friday,0,0.08333333333333333,0.9354838709677419
1/30/2016,A,10,17,2,Saturday,0,0.08333333333333333,0.967741935483871
1/30/2016,B,3,17,2,Saturday,0,0.08333333333333333,0.967741935483871
1/30/2016,C,4,17,2,Saturday,0,0.08333333333333333,0.967741935483871
1/31/2016,A,6,18,0,Sunday,0,0.08333333333333333,1.0
1/31/2016,B,0,18,0,Sunday,0,0.08333333333333333,1.0
1/31/2016,C,2,18,0,Sunday,0,0.08333333333333333,1.0
2/1/2016,A,5,18,0,Monday,0,0.16666666666666666,0.03225806451612903
2/1/2016,B,3,18,0,Monday,0,0.16666666666666666,0.03225806451612903
2/1/2016,C,3,18,0,Monday,0,0.16666666666666666,0.03225806451612903
2/2/2016,A,10,22,0,Tuesday,0,0.16666666666666666,0.06451612903225806
2/2/2016,B,0,22,0,Tuesday,0,0.16666666666666666,0.06451612903225806
2/2/2016,C,2,22,0,Tuesday,0,0.16666666666666666,0.06451612903225806
2/3/2016,A,7,21,2,Wednesday,0,0.16666666666666666,0.0967741935483871
